year,pitcher_id,pitch_type,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
2022,605200,CH,-1.9,-14,222,0.187,0.325,0.261,32.2,20.7,20.4,0.215,0.341,0.267,25.3
2022,502043,SIFT,0.5,4,222,0.306,0.459,0.381,19.8,15.8,19.2,0.291,0.446,0.361,50
2022,623167,FF,0.3,3,222,0.301,0.527,0.398,15.6,13.5,13.4,0.283,0.523,0.396,52.5
2022,448179,CUKC,-0.3,-2,221,0.235,0.377,0.306,16.8,15.4,13.9,0.242,0.368,0.298,30
2022,663556,FF,-0.6,-6,221,0.244,0.442,0.34,24,21.7,20.7,0.229,0.421,0.324,42.3
2022,425794,SIFT,0.2,1,220,0.255,0.373,0.302,8.9,22.7,19,0.29,0.478,0.354,51.9
2022,605164,FF,-0.2,-2,219,0.258,0.464,0.342,16.6,13.2,12.9,0.252,0.463,0.344,39.9
2022,628711,SV,-1.4,-12,218,0.2,0.356,0.27,21.4,27.1,20.8,0.193,0.316,0.242,24.3
2022,571945,FF,-0.6,-5,217,0.213,0.351,0.287,21.6,30,19.7,0.228,0.386,0.291,43.5
2022,666201,SIFT,-1,-7,217,0.225,0.267,0.286,16.1,19.8,21,0.215,0.277,0.272,29.5
2022,624522,FF,0,0,217,0.253,0.468,0.365,19.9,21.2,18.6,0.261,0.507,0.376,46.5
2022,669169,FF,0.5,4,215,0.277,0.554,0.407,13.9,13.5,14.1,0.258,0.486,0.374,45.4
2022,656271,FF,-0.7,-6,214,0.196,0.354,0.293,21.6,30.8,24.6,0.21,0.356,0.292,47.2
2022,608566,FF,1.4,12,214,0.313,0.527,0.409,15.3,12.6,12.1,0.274,0.435,0.36,47.1
2022,669920,SIFT,1,7,214,0.344,0.511,0.403,9.6,10.3,14.5,0.311,0.463,0.377,49.4
2022,663776,SL,-1.3,-9,214,0.201,0.261,0.247,33.6,28.5,26.8,0.212,0.318,0.265,31.7
2022,571945,SIFT,-1.2,-8,212,0.211,0.309,0.264,12.5,20.3,18.1,0.224,0.326,0.277,32.5
2022,543766,FC,-0.1,-1,212,0.25,0.391,0.337,20.7,18.9,21.6,0.256,0.394,0.332,46.2
2022,664141,SL,1.5,11,211,0.255,0.432,0.351,41,34.1,24.5,0.225,0.389,0.3,35.5
2022,446372,FC,-0.8,-7,211,0.302,0.436,0.326,25.6,14.7,19.3,0.275,0.432,0.313,30.3
2022,622608,FF,1.6,13,211,0.4,0.595,0.446,12.6,8.1,8.9,0.325,0.491,0.377,46.7
2022,668676,FF,0.5,4,211,0.306,0.503,0.399,14.9,7.1,8.1,0.309,0.575,0.418,47.3
2022,506433,SL,-0.7,-6,211,0.301,0.454,0.378,25.7,12.3,19.7,0.299,0.472,0.38,36.7
2022,527048,FC,-1.7,-12,211,0.232,0.294,0.268,16.9,27.5,27.2,0.231,0.302,0.27,32.8
2022,542881,FF,-0.7,-6,210,0.262,0.428,0.338,18.6,17.6,17.1,0.255,0.449,0.342,40.8
2022,446372,CUKC,0.2,1,210,0.255,0.415,0.315,28.3,31,23.4,0.23,0.377,0.283,34.1
2022,601713,CUKC,2,16,209,0.299,0.442,0.344,22.2,24.9,19.6,0.253,0.39,0.302,41.4
2022,622072,SL,0.8,7,208,0.254,0.381,0.323,28.7,24,17.4,0.249,0.364,0.319,38.1
2022,672851,FF,2.1,17,208,0.288,0.529,0.414,15,15.4,17.1,0.288,0.539,0.415,41
2022,543037,SL,-1.4,-10,208,0.16,0.28,0.219,44.2,37,24.8,0.195,0.32,0.241,32.5
2022,669302,SL,0,0,207,0.223,0.335,0.268,25.1,27.1,16.3,0.23,0.36,0.276,41.3
2022,621244,SIFT,-0.6,-4,207,0.317,0.452,0.374,11.7,12.1,15.8,0.312,0.486,0.38,42
2022,640448,SIFT,-0.7,-6,207,0.217,0.354,0.281,25.9,27.5,22.1,0.207,0.339,0.272,45.9
2022,592767,CUKC,-0.5,-4,206,0.225,0.34,0.266,32.7,29.1,19,0.243,0.366,0.276,30.7
2022,605280,SIFT,-1.2,-10,206,0.199,0.254,0.265,26.2,21.4,22.7,0.199,0.262,0.262,46.3
2022,621244,FF,2.2,17,206,0.349,0.618,0.442,18.9,17.5,19,0.308,0.576,0.409,55.3
2022,592789,SIFT,-2,-13,205,0.235,0.31,0.284,10.2,9.3,12.8,0.266,0.399,0.329,34.3
2022,656945,SL,-0.1,-1,204,0.238,0.363,0.324,36.4,30.4,23.1,0.225,0.329,0.313,32.1
2022,656876,FF,-1.3,-11,203,0.225,0.346,0.273,19,20.2,15.1,0.232,0.353,0.276,42.8
2022,518516,FF,2.6,24,202,0.326,0.606,0.449,18.1,13.9,11.1,0.269,0.549,0.394,49.3
2022,663460,CH,0.3,2,202,0.258,0.399,0.34,26.1,19.3,18.8,0.274,0.449,0.354,38.6
2022,641482,FC,-1.2,-9,201,0.191,0.366,0.281,24.5,21.9,22.1,0.227,0.354,0.29,35.3
2022,657140,SIFT,-1.9,-12,200,0.236,0.309,0.306,15.7,12,17.8,0.263,0.356,0.318,38.1
2022,543475,ST,0.2,1,200,0.253,0.366,0.291,29.5,19.5,14,0.237,0.381,0.298,26.2
2022,608566,CUKC,-1.2,-7,200,0.141,0.24,0.185,37.3,45,25.3,0.162,0.264,0.201,34.6
2022,621368,FF,-0.3,-3,200,0.198,0.353,0.317,23,26,20.4,0.216,0.351,0.322,36.2
2022,608566,SIFT,1.3,9,199,0.328,0.567,0.42,10.1,1,4.8,0.33,0.532,0.398,57.1
2022,571945,SL,-0.3,-2,199,0.239,0.41,0.304,21.2,11.1,10,0.302,0.484,0.359,35.7
2022,623167,FC,0,0,198,0.267,0.396,0.31,23.4,15.2,18,0.268,0.405,0.309,37.7
2022,425794,FC,-0.5,-4,198,0.283,0.44,0.344,18.1,11.1,12.3,0.28,0.46,0.342,33.7
2022,518876,CH,-0.1,-1,197,0.243,0.362,0.284,28.5,23.9,20.3,0.219,0.315,0.257,30.7
2022,542881,FC,-0.9,-5,197,0.213,0.346,0.273,18.3,18.8,18.6,0.231,0.331,0.264,23
2022,656605,FF,0.1,1,196,0.269,0.409,0.348,23.9,25,17,0.219,0.364,0.306,29.3
2022,672710,FF,0,0,196,0.276,0.541,0.391,17.9,13.3,13.7,0.295,0.555,0.406,58.3
2022,666120,CH,-0.4,-3,196,0.209,0.345,0.286,36.5,31.6,22.4,0.219,0.322,0.279,33
2022,645261,FF,-0.2,-2,196,0.235,0.436,0.321,24.7,24.5,20.3,0.231,0.426,0.315,48.5
2022,621363,FF,-0.6,-5,195,0.218,0.406,0.31,27,24.1,20.2,0.217,0.369,0.301,32.3
2022,669022,FF,-0.7,-5,195,0.232,0.351,0.307,18.7,21,19.2,0.264,0.429,0.349,48.1
2022,596295,FF,2.6,21,195,0.376,0.618,0.453,13.1,11.8,13.5,0.327,0.523,0.4,45.7
2022,621244,SV,-0.4,-3,195,0.207,0.359,0.267,31.5,34.4,21.6,0.217,0.377,0.28,42.7
2022,592351,SL,0,0,193,0.156,0.33,0.253,40.6,39.4,24.8,0.163,0.27,0.232,26.2
2022,669952,FF,0.6,4,193,0.299,0.485,0.388,11.5,12.4,12.4,0.265,0.393,0.339,32.6
2022,471911,FF,0.2,2,192,0.331,0.549,0.402,20.1,17.2,13.6,0.292,0.507,0.371,49.7
2022,446372,SIFT,1.3,8,192,0.28,0.474,0.358,10,13,14,0.284,0.471,0.354,42.1
2022,458681,FF,-0.8,-7,192,0.203,0.346,0.275,33.4,31.8,21.9,0.198,0.343,0.257,33.1
2022,571578,SL,3,23,191,0.309,0.571,0.412,36.9,29.8,20.7,0.258,0.46,0.34,40.7
2022,640455,CH,1.8,11,189,0.301,0.528,0.366,28.8,23.8,22.1,0.257,0.436,0.323,44.4
2022,608337,CH,1,7,189,0.248,0.418,0.337,38.5,33.9,25.8,0.218,0.313,0.291,19.8
2022,608723,FF,0.2,1,188,0.275,0.455,0.346,21.8,20.2,17.1,0.261,0.473,0.352,42.1
2022,660271,FF,-0.4,-3,188,0.281,0.389,0.344,20.1,19.1,19.5,0.285,0.408,0.346,34.4
2022,605397,FF,-1.2,-8,188,0.222,0.347,0.273,24.1,30.3,23.6,0.24,0.374,0.293,36.1
2022,664062,FF,0.1,1,187,0.261,0.473,0.364,16.7,13.4,13.4,0.277,0.48,0.369,41.4
2022,506433,FF,-0.8,-6,187,0.168,0.296,0.215,21.8,34.8,22.3,0.2,0.404,0.275,44.3
2022,453178,FF,-0.5,-3,185,0.238,0.451,0.337,17.7,17.8,18,0.279,0.521,0.377,48.1
2022,665152,FC,-1.7,-10,185,0.259,0.356,0.297,21.8,14.6,14.4,0.268,0.391,0.306,35.6
2022,677651,FC,-1.3,-10,185,0.151,0.247,0.225,42.8,34.1,25.2,0.184,0.277,0.244,28.6
2022,663738,SL,1.7,13,185,0.273,0.522,0.378,33.1,28.6,18.7,0.264,0.459,0.347,51.3
2022,608718,FF,1.2,8,184,0.307,0.536,0.403,19.7,12.5,11.9,0.286,0.421,0.343,36.1
2022,471911,CH,-1.1,-7,184,0.206,0.306,0.263,31.6,30.4,21.8,0.217,0.345,0.278,39.5
2022,622491,FF,-2.2,-18,184,0.151,0.193,0.209,33.9,44,26.6,0.179,0.28,0.247,40
2022,663776,CH,0.3,2,184,0.215,0.288,0.28,44.5,39.7,24.4,0.214,0.295,0.275,30.4
2022,579328,FF,1.3,12,184,0.252,0.497,0.393,26.6,23.4,20.9,0.275,0.562,0.424,52.8
2022,543243,SIFT,-0.1,-1,183,0.211,0.398,0.312,18.3,32.2,27.8,0.22,0.375,0.304,48.5
2022,517008,FC,0.4,3,183,0.277,0.428,0.328,20.3,17.5,17.5,0.266,0.427,0.317,44.4
2022,605397,SL,-0.2,-1,183,0.217,0.355,0.286,36,31.7,21.4,0.22,0.34,0.283,27.3
2022,477132,FF,-1.2,-8,182,0.212,0.329,0.265,9.9,15.4,19,0.228,0.367,0.282,34.3
2022,605488,FF,-0.5,-4,182,0.209,0.393,0.315,26.5,29.1,18.9,0.244,0.456,0.344,53.6
2022,622663,FF,-1.4,-11,182,0.186,0.377,0.284,20.7,19.2,16.7,0.227,0.392,0.299,45.1
2022,501985,FF,1.1,8,181,0.321,0.571,0.419,15.6,12.2,11.8,0.271,0.449,0.36,41.5
2022,500779,CUKC,-1.3,-10,181,0.202,0.274,0.258,31.1,27.6,22.3,0.228,0.351,0.282,39
2022,605400,SIFT,-1.9,-11,181,0.178,0.272,0.231,11.1,29.8,30.9,0.198,0.313,0.25,35.3
2022,571760,FF,0,0,180,0.228,0.449,0.356,30.5,33.9,28.9,0.223,0.402,0.317,52
